Label,area1,area2,area3,area4,area5
Uninfected,14539,0,0,0,0
Uninfected,13697,0,0,0,0
Uninfected,14366,0,0,0,0
Uninfected,7777.5,0,0,0,0
Uninfected,11183,0,0,0,0
Uninfected,9893.5,0,0,0,0
Uninfected,12567,0,0,0,0
Uninfected,11292.5,0,0,0,0
Uninfected,15841,0,0,0,0
Uninfected,15208.5,0,0,0,0
Uninfected,14320.5,0,0,0,0
Uninfected,13241.5,0,0,0,0
Uninfected,11308.5,0,0,0,0
Uninfected,11997.5,0,0,0,0
Uninfected,11749.5,0,0,0,0
Uninfected,11521.5,0,0,0,0
Uninfected,15912.5,0,0,0,0
Uninfected,18685,0,0,0,0
Uninfected,11416.5,0,0,0,0
Uninfected,15240.5,0,0,0,0
Uninfected,14442.5,0,0,0,0
Uninfected,12428.5,0,0,0,0
Uninfected,15220.5,0,0,0,0
Uninfected,8723,0,0,0,0
Uninfected,12942.5,0,0,0,0
Uninfected,15434.5,0,0,0,0
Uninfected,14619.5,0,0,0,0
Uninfected,4960,0,0,0,0
Uninfected,12029.5,0,0,0,0
Uninfected,11050.5,0,0,0,0
Uninfected,5453.5,0,0,0,0
Uninfected,14100,0,0,0,0
Uninfected,11489.5,0,0,0,0
Uninfected,14321.5,0,0,0,0
Uninfected,14459,0,0,0,0
Uninfected,9900.5,0,0,0,0
Uninfected,14903.5,0,0,0,0
Uninfected,12424.5,0,0,0,0
Uninfected,12591,0,0,0,0
Uninfected,15830.5,0,0,0,0
Uninfected,10974,0,0,0,0
Uninfected,13628.5,0,0,0,0
Uninfected,13514,0,0,0,0
Uninfected,7050,0,0,0,0
Uninfected,14823,0,0,0,0
Uninfected,16519.5,0,0,0,0
Uninfected,12350,0,0,0,0
Uninfected,15318.5,0,0,0,0
Uninfected,16779,0,0,0,0
Uninfected,13145,0,0,0,0
Uninfected,12773.5,0,0,0,0
Uninfected,12382,0,0,0,0
Uninfected,9770.5,0,0,0,0
Uninfected,13134.5,0,0,0,0
Uninfected,14178.5,0,0,0,0
Uninfected,11586,0,0,0,0
Uninfected,15427.5,0,0,0,0
Uninfected,12482,0,0,0,0
Uninfected,12347,0,0,0,0
Uninfected,10,17484.5,0,0,0
Uninfected,12316.5,0,0,0,0
Uninfected,16193.5,0,0,0,0
Uninfected,11404.5,0,0,0,0
Uninfected,416,11093.5,0,0,0
Uninfected,13804.5,0,0,0,0
Uninfected,14532,0,0,0,0
Uninfected,16900.5,0,0,0,0
Uninfected,10,10292,0,0,0
Uninfected,13618,0,0,0,0
Uninfected,10736,0,0,0,0
Uninfected,13003,0,0,0,0
Uninfected,10951.5,0,0,0,0
Uninfected,55.5,8882.5,0,0,0
Uninfected,7738,0,0,0,0
Uninfected,13599,0,0,0,0
Uninfected,4,47,9627,0,0
Uninfected,13091.5,0,0,0,0
Uninfected,6398,0,0,0,0
Uninfected,13912,0,0,0,0
Uninfected,11848.5,0,0,0,0
Uninfected,12437.5,0,0,0,0
Uninfected,11179.5,0,0,0,0
Uninfected,6723,0,0,0,0
Uninfected,10230,0,0,0,0
Uninfected,5538.5,0,0,0,0
Uninfected,8233,0,0,0,0
Uninfected,11597.5,0,0,0,0
Uninfected,9957.5,0,0,0,0
Uninfected,9653,0,0,0,0
Uninfected,15984,0,0,0,0
Uninfected,25.5,5.5,12716,0,0
Uninfected,10837.5,0,0,0,0
Uninfected,17633.5,0,0,0,0
Uninfected,5599.5,0,0,0,0
Uninfected,13442.5,0,0,0,0
Uninfected,10652,0,0,0,0
Uninfected,9667,0,0,0,0
Uninfected,19737.5,0,0,0,0
Uninfected,13745.5,0,0,0,0
Uninfected,12970.5,0,0,0,0
Uninfected,7300.5,0,0,0,0
Uninfected,9317.5,0,0,0,0
Uninfected,8249.5,0,0,0,0
Uninfected,9490,0,0,0,0
Uninfected,10156.5,0,0,0,0
Uninfected,10443,0,0,0,0
Uninfected,12167,0,0,0,0
Uninfected,7640,0,0,0,0
Uninfected,4,11167,0,0,0
Uninfected,5155,0,0,0,0
Uninfected,12410,0,0,0,0
Uninfected,5.5,15909,0,0,0
Uninfected,12611,0,0,0,0
Uninfected,14064,0,0,0,0
Uninfected,13230.5,0,0,0,0
Uninfected,12456,0,0,0,0
Uninfected,9170,0,0,0,0
Uninfected,2,2,11127.5,0,0
Uninfected,14201.5,0,0,0,0
Uninfected,117,14459.5,0,0,0
Uninfected,13649.5,0,0,0,0
Uninfected,11644.5,0,0,0,0
Uninfected,10316.5,0,0,0,0
Uninfected,12671,0,0,0,0
Uninfected,10821.5,0,0,0,0
Uninfected,170.5,1,5817.5,0,0
Uninfected,9350.5,0,0,0,0
Uninfected,17423.5,0,0,0,0
Uninfected,11921.5,0,0,0,0
Uninfected,11860.5,0,0,0,0
Uninfected,13901,0,0,0,0
Uninfected,12231.5,0,0,0,0
Uninfected,9239.5,0,0,0,0
Uninfected,13330,0,0,0,0
Uninfected,15781,0,0,0,0
Uninfected,15670.5,0,0,0,0
Uninfected,15444.5,0,0,0,0
Uninfected,14479,0,0,0,0
Uninfected,13335.5,0,0,0,0
Uninfected,2,10.5,1.5,53,3.5
Uninfected,46,5.5,3.5,2,472
Uninfected,5.5,1219.5,24.5,12.5,17
Uninfected,18.5,4,23.5,10,63
Uninfected,7,10,135.5,18,1920.5
Uninfected,3.5,0,0,428,12.5
Uninfected,16979,0,0,0,0
Uninfected,49,60,13823,0,0
Uninfected,15.5,26.5,2,2,7
Uninfected,0,12,748,4,2
Uninfected,2,10,4,2,17.5
Uninfected,7.5,72,9.5,16.5,13672.5
Uninfected,12126.5,0,0,0,0
Uninfected,15847,0,0,0,0
Uninfected,88,16501,0,0,0
Uninfected,105,5.5,4,2,44.5
Uninfected,2,2,0,11.5,0
Uninfected,9.5,12.5,170,2,18
Uninfected,1.5,54,0,717.5,7
Uninfected,63.5,110.5,7,8.5,5.5
Uninfected,14896,0,0,0,0
Uninfected,4,9,742,8108.5,10234.5
Uninfected,2,20.5,32,0,46
Uninfected,92,8,0.5,14.5,1.5
Uninfected,5.5,15220,0,0,0
Uninfected,0,2,2,938,7.5
Uninfected,239,15.5,28,12,76.5
Uninfected,17439.5,0,0,0,0
Uninfected,14,5.5,1,4,3.5
Uninfected,5.5,12,16.5,12.5,0
Uninfected,32.5,4,0,405.5,77.5
Uninfected,4,475.5,1732.5,0,0
Uninfected,11,0,0,0,447.5
Uninfected,4,0.5,2,2,28.5
Uninfected,6,0,4.5,2,0
Uninfected,0,212.5,2,273,31
Uninfected,22.5,2,7,11,2
Uninfected,7.5,2,19.5,16.5,0
Uninfected,2,10,13.5,6,13.5
Uninfected,13.5,7,4,10,7
Uninfected,81,2,0,7,2
Uninfected,60.5,15813.5,0,0,0
Uninfected,4927,10913,0,0,0
Uninfected,7170,0,0,0,0
Uninfected,487.5,7911.5,9758.5,0,0
Uninfected,24.5,3,4,6,1120.5
Uninfected,15832,0,0,0,0
Uninfected,8,0,80,3,2
Uninfected,41.5,4,4,16312,0
Uninfected,1.5,0.5,1,1,0
Uninfected,0,525.5,0,1393,0
Uninfected,0,32,7,3,2
Uninfected,4,15.5,2,4,2
Uninfected,0.5,13.5,103.5,37,9
Uninfected,207,0,99.5,16100.5,0
Uninfected,4,0,0,51.5,13
Uninfected,8.5,26.5,7,4.5,6930
Uninfected,18.5,7148.5,0,0,0
Uninfected,1.5,10,1.5,1,5.5
Uninfected,15170,0,0,0,0
Uninfected,4,15.5,19,12.5,2
Uninfected,8.5,8.5,15,5.5,11
Uninfected,13197,0,0,0,0
Uninfected,12879.5,0,0,0,0
Uninfected,10.5,6.5,8.5,0.5,0.5
Uninfected,18339,0,0,0,0
Uninfected,0,0,45,0.5,15.5
Uninfected,13896.5,0,0,0,0
Uninfected,14836,0,0,0,0
Uninfected,16.5,17132,0,0,0
Uninfected,20290.5,0,0,0,0
Uninfected,18350,0,0,0,0
Uninfected,15159,0,0,0,0
Uninfected,12020,0,0,0,0
Uninfected,16155.5,0,0,0,0
Uninfected,16128.5,0,0,0,0
Uninfected,10838.5,0,0,0,0
Uninfected,15995,0,0,0,0
Uninfected,15155,0,0,0,0
Uninfected,336,17137,0,0,0
Uninfected,10870,0,0,0,0
Uninfected,17667,0,0,0,0
Uninfected,11879,0,0,0,0
Uninfected,10348.5,0,0,0,0
Uninfected,13409.5,0,0,0,0
Uninfected,9675.5,0,0,0,0
Uninfected,11949.5,0,0,0,0
Uninfected,13131,0,0,0,0
Uninfected,18814.5,0,0,0,0
Uninfected,13854,0,0,0,0
Uninfected,22204,0,0,0,0
Uninfected,18258,0,0,0,0
Uninfected,8004,0,0,0,0
Uninfected,16930,0,0,0,0
Uninfected,17003.5,0,0,0,0
Uninfected,11405,0,0,0,0
Uninfected,12254,0,0,0,0
Uninfected,14751,0,0,0,0
Uninfected,10706.5,0,0,0,0
Uninfected,13650,0,0,0,0
Uninfected,17055.5,0,0,0,0
Uninfected,15062,0,0,0,0
Uninfected,13782,0,0,0,0
Uninfected,12589.5,0,0,0,0
Uninfected,9719.5,0,0,0,0
Uninfected,15195,0,0,0,0
Uninfected,19326,0,0,0,0
Uninfected,15066.5,0,0,0,0
Uninfected,13262.5,0,0,0,0
Uninfected,12706,0,0,0,0
Uninfected,16273.5,0,0,0,0
Uninfected,13591.5,0,0,0,0
Uninfected,13201.5,0,0,0,0
Uninfected,17741.5,0,0,0,0
Uninfected,11123.5,0,0,0,0
Uninfected,14485,0,0,0,0
Uninfected,12945.5,0,0,0,0
Uninfected,18565.5,0,0,0,0
Uninfected,15568,0,0,0,0
Uninfected,18679.5,0,0,0,0
Uninfected,15816,0,0,0,0
Uninfected,11443,0,0,0,0
Uninfected,15685.5,0,0,0,0
Uninfected,15477.5,0,0,0,0
Uninfected,16274.5,0,0,0,0
Uninfected,15284,0,0,0,0
Uninfected,14074.5,0,0,0,0
Uninfected,14357,0,0,0,0
Uninfected,14567.5,0,0,0,0
Uninfected,17131,0,0,0,0
Uninfected,16969.5,0,0,0,0
Uninfected,15427,0,0,0,0
Uninfected,6817,0,0,0,0
Uninfected,13951,0,0,0,0
Uninfected,14884,0,0,0,0
Uninfected,12296,0,0,0,0
Uninfected,15537.5,0,0,0,0
Uninfected,15881,0,0,0,0
Uninfected,8439.5,0,0,0,0
Uninfected,19992.5,0,0,0,0
Uninfected,13681,0,0,0,0
Uninfected,17375,0,0,0,0
Uninfected,17555.5,0,0,0,0
Uninfected,13016.5,0,0,0,0
Uninfected,15592.5,0,0,0,0
Uninfected,13374,0,0,0,0
Uninfected,14074,0,0,0,0
Uninfected,10374,0,0,0,0
Uninfected,19416.5,0,0,0,0
Uninfected,14461,0,0,0,0
Uninfected,15747,0,0,0,0
Uninfected,11943.5,0,0,0,0
Uninfected,11074,0,0,0,0
Uninfected,12783,0,0,0,0
Uninfected,15370,0,0,0,0
Uninfected,16337.5,0,0,0,0
Uninfected,15375.5,0,0,0,0
Uninfected,14820,0,0,0,0
Uninfected,16169,0,0,0,0
Uninfected,16267,0,0,0,0
Uninfected,12379.5,0,0,0,0
Uninfected,12560.5,0,0,0,0
Uninfected,15242,0,0,0,0
Uninfected,13466.5,0,0,0,0
Uninfected,17124,0,0,0,0
Uninfected,16357,0,0,0,0
Uninfected,14507,0,0,0,0
Uninfected,13290,0,0,0,0
Uninfected,13861,0,0,0,0
Uninfected,14306,0,0,0,0
Uninfected,13330,0,0,0,0
Uninfected,19067,0,0,0,0
Uninfected,15937.5,0,0,0,0
Uninfected,14561,0,0,0,0
Uninfected,14336,0,0,0,0
Uninfected,15215.5,0,0,0,0
Uninfected,14314,0,0,0,0
Uninfected,9600.5,0,0,0,0
Uninfected,18479.5,0,0,0,0
Uninfected,11392,0,0,0,0
Uninfected,12232.5,0,0,0,0
Uninfected,14019,0,0,0,0
Uninfected,15869.5,0,0,0,0
Uninfected,14377.5,0,0,0,0
Uninfected,16585.5,0,0,0,0
Uninfected,23266,0,0,0,0
Uninfected,20006,0,0,0,0
Uninfected,15898,0,0,0,0
Uninfected,17617.5,0,0,0,0
Uninfected,19562.5,0,0,0,0
Uninfected,13699.5,0,0,0,0
Uninfected,15478,0,0,0,0
Uninfected,16006,0,0,0,0
Uninfected,12815.5,0,0,0,0
Uninfected,12596.5,0,0,0,0
Uninfected,13465,0,0,0,0
Uninfected,17199.5,0,0,0,0
Uninfected,26,10743.5,0,0,0
Uninfected,15735,0,0,0,0
Uninfected,14826,0,0,0,0
Uninfected,14975.5,0,0,0,0
Uninfected,12624.5,0,0,0,0
Uninfected,18475.5,0,0,0,0
Uninfected,19916,0,0,0,0
Uninfected,9496,0,0,0,0
Uninfected,9880,0,0,0,0
Uninfected,16093.5,0,0,0,0
Uninfected,15960,0,0,0,0
Uninfected,14901,0,0,0,0
Uninfected,15532.5,0,0,0,0
Uninfected,14542.5,0,0,0,0
Uninfected,13077,0,0,0,0
Uninfected,14071,0,0,0,0
Uninfected,9514.5,0,0,0,0
Uninfected,9011,0,0,0,0
Uninfected,14136,0,0,0,0
Uninfected,15872.5,0,0,0,0
Uninfected,12809.5,0,0,0,0
Uninfected,21215,0,0,0,0
Uninfected,17299.5,0,0,0,0
Uninfected,16950.5,0,0,0,0
Uninfected,18915,0,0,0,0
Uninfected,17811,0,0,0,0
Uninfected,14880.5,0,0,0,0
Uninfected,13512.5,0,0,0,0
Uninfected,15102.5,0,0,0,0
Uninfected,14388.5,0,0,0,0
Uninfected,12670.5,0,0,0,0
Uninfected,13341,0,0,0,0
Uninfected,16156,0,0,0,0
Uninfected,15970.5,0,0,0,0
Uninfected,18080,0,0,0,0
Uninfected,12944,0,0,0,0
Uninfected,19634,0,0,0,0
Uninfected,11943,0,0,0,0
Uninfected,5929.5,0,0,0,0
Uninfected,13087,0,0,0,0
Uninfected,17027,0,0,0,0
Uninfected,11495,0,0,0,0
Uninfected,16751,0,0,0,0
Uninfected,17283.5,0,0,0,0
Uninfected,13511.5,0,0,0,0
Uninfected,9387.5,0,0,0,0
Uninfected,16942,0,0,0,0
Uninfected,16271.5,0,0,0,0
Uninfected,16813,0,0,0,0
Uninfected,16126,0,0,0,0
Uninfected,15162.5,0,0,0,0
Uninfected,17279,0,0,0,0
Uninfected,17973.5,0,0,0,0
Uninfected,18874.5,0,0,0,0
